CUENTA_USUARIO,ALIAS,DESTINATARIOS,CODIGO_INSTITUCION,TIPO_CUENTA,CUENTA,LIMITE_DE_OPERACION,Num_Operaciones,RFC_OBLIGATORIO,Email,TIPO_PERSONA
1417,asims,Daniel Berry,40002,CLABE,002012680015207360,54970,35,AGSA810414LO7,sarah91@example.org,FISICA
2840,richard68,Helen Marshall,40014,CLABE,014508352381491550,94850,46,KEL030301Z3M,stephen29@example.org,MORAL
1513,hollandjason,Amy Page,40044,CLABE,044786784279944490,31521,18,JOY140827GFT,xrodriguez@example.com,MORAL
1410,rochacarrie,Jamie Russell,40012,CLABE,012589588195167058,31116,43,ROS090524Q8K,lloydparker@example.com,MORAL
6654,katrina36,Adam Ruiz,40014,CLABE,014697432760006178,85026,30,HAMP640309MPT,robert25@example.net,FISICA
1197,jessicamiller,Kevin Gonzales,40021,CLABE,021556836851851738,90702,18,PIE090827OVP,keith79@example.net,MORAL
4368,michele98,Sabrina Santos,40002,CLABE,002590038676396466,28124,29,EDW230730PAX,ljordan@example.org,MORAL
7596,sharonjennings,Patrick Price,40014,CLABE,014425920792723791,92695,11,ROSG450607AT7,ffreeman@example.org,FISICA
7440,jill14,Mario Dennis,40014,CLABE,014697279126513698,76583,27,ALL240409LU2,keithjohnson@example.org,MORAL
2212,hoffmanjoshua,Robert Garcia,40044,CLABE,044181151367704085,83102,36,SWA16123184E,jlee@example.org,MORAL
8711,deborah41,Nicholas Swanson,40021,CLABE,021346463595244471,96193,15,TULC450804S6N,alejandroanderson@example.org,FISICA
9902,lambsarah,Michele Keller,40012,CLABE,012580321128623911,3304,2,CLSS621113OA4,coxjohn@example.net,FISICA
2016,nicole75,Tamara Irwin,40044,CLABE,044715795584586055,28856,17,WIRR821129CL9,luiswilson@example.net,FISICA
9345,hallvernon,Jason Sanford,40014,CLABE,014253657335590874,97876,12,CRU080706NNF,elizabethfranco@example.org,MORAL
5066,jaredwright,Mr. Bryan Haas,40002,CLABE,002167998088485157,7345,37,TOR151223YNL,kevinhoffman@example.net,MORAL
7749,marcberry,Daniel Craig,40014,CLABE,014422473508329096,92838,46,MCPL720108BYD,longann@example.com,FISICA
1577,melindafoster,Andrew Morgan,40014,CLABE,014219652074276027,48711,13,AUDE790812NBQ,matthewhowell@example.com,FISICA
6027,edavis,Andrea Jones,40044,CLABE,044900459358907416,71059,17,WOO1206046PE,mmendez@example.com,MORAL
9214,albert39,Jeff Russell,40044,CLABE,044169023077633097,98753,32,MOR090823MHD,michael85@example.org,MORAL
2733,nguyenvalerie,Heather Stewart,40012,CLABE,012817080376783545,62857,3,KIN15051096I,fcisneros@example.net,MORAL
4514,washingtonlauren,Michael Stone,40002,CLABE,002185455493905202,2647,26,HUJW690903WOR,anna40@example.com,FISICA
5054,amber91,Joanne Knight,40012,CLABE,012248620041597873,64886,4,WHLL950501Z41,jessegarcia@example.org,FISICA
2274,lcurtis,Bobby Gonzalez,40002,CLABE,002732503849498018,93843,24,MCG2306035SI,colonjoanne@example.net,MORAL
6626,horonald,April Hernandez,40044,CLABE,044527070266899601,95805,18,JON180518XSO,hball@example.org,MORAL
3112,jacobwallace,Stephanie Blair,40002,CLABE,002433379459283558,43465,34,FIGA6203205OM,rayricky@example.com,FISICA
8496,warrenmarcus,Christina Marsh,40044,CLABE,044477916114385845,47122,7,WHLL951202LLP,ebrown@example.org,FISICA
5454,ronaldgregory,Linda Carlson,40002,CLABE,002288081284134715,23745,43,BEFK770629LZT,lawrencemartinez@example.org,FISICA
6437,parsonsjocelyn,Ruben Brock,40044,CLABE,044238538676195641,96649,12,SATJ460406PLI,henryjack@example.com,FISICA
7050,amybean,Julie Harvey,40012,CLABE,012536963931773529,17625,39,DOD101203AFM,mwong@example.com,MORAL
7634,kathrynortiz,Amy Parker,40044,CLABE,044844708138362025,15973,48,GRWA92061896H,christinastephens@example.org,FISICA
2969,leacheric,Sydney Jones,40014,CLABE,014855068707848723,98024,31,RUS151214TYT,ronnie75@example.com,MORAL
3056,tamarajackson,Mary Fowler,40014,CLABE,014024144893689484,78055,6,MCK240525LNM,jennyanderson@example.net,MORAL
7306,kramerdanny,Sherry Briggs,40002,CLABE,002325238193805498,68015,45,TAY091121B4Z,ushaffer@example.com,MORAL
3476,alisonjennings,Lori Peterson,40014,CLABE,014826089165981468,59088,6,JORR8606159IB,jessica04@example.com,FISICA
8372,rjones,Amanda Atkinson,40044,CLABE,044521051332666519,89152,20,VEL090405QW7,padams@example.net,MORAL
9600,christopher29,Joshua Scott,40021,CLABE,021710041407731760,31937,14,SOTE040715SMC,ryan59@example.net,FISICA
9278,alisonlewis,Timothy Novak,40014,CLABE,014419858921118151,35316,5,RAAR710411J8B,robert48@example.net,FISICA
3718,rachelwilcox,William Caldwell,40021,CLABE,021915184109357254,82635,6,TER221128KXK,pconner@example.org,MORAL
9760,jamestimothy,James Jordan,40021,CLABE,021702852480237674,14704,44,BUT060512LMF,denisefletcher@example.org,MORAL
3287,markmalone,Amanda Rivera,40021,CLABE,021360355388906638,16616,35,HERS390425XD8,lacey51@example.com,FISICA
3196,rchapman,Mrs. Charlene Reynolds DVM,40021,CLABE,021446231005769861,4899,18,RUCA430711GZS,debra18@example.org,FISICA
9518,antonio21,Christina Thompson,40014,CLABE,014976589521645901,53410,35,SMAC67050677D,christinafox@example.net,FISICA
4347,dennisstrickland,William Cooke,40014,CLABE,014595185803760612,58298,10,PAAM811011ZPW,khudson@example.net,FISICA
3613,jasmine66,William Bryant,40002,CLABE,002153723975073417,70990,18,SCFJ991127SIT,greeroscar@example.net,FISICA
9085,jensenaaron,Lisa Morris,40012,CLABE,012040731343881465,5250,46,LOP120817ACN,julia88@example.net,MORAL
9674,colleenkelly,Jaime Finley,40044,CLABE,044434534654155865,53839,38,CARK490422ZLD,martinwillie@example.net,FISICA
2277,danielbecker,Erin Hendrix,40002,CLABE,002188527707488896,62597,19,TUR140121KE7,jamespeterson@example.com,MORAL
3528,johnsonbrooke,Kathleen Mathews,40012,CLABE,012952875522045897,32273,11,HAY100517RHA,todd75@example.net,MORAL
7673,millerrobin,April Lopez,40014,CLABE,014921311937929557,98002,39,MOR061007RE1,mccarthylacey@example.com,MORAL
2756,peter96,William Price,40002,CLABE,002782252919925501,54029,17,BRA0807142Q0,andrewgarcia@example.org,MORAL
4493,denise23,Matthew Young,40002,CLABE,002607754596035628,93609,30,SWLM461211LT1,gwright@example.com,FISICA
8701,phillipsjacqueline,Katelyn Robertson,40012,CLABE,012981254356378221,96845,7,LOP151225C6G,paul33@example.net,MORAL
7585,zachary61,Joshua Medina,40021,CLABE,021473460416079774,99689,9,HER130906TX3,jenniferpark@example.net,MORAL
6242,tommylove,Paula Wilson,40014,CLABE,014385795246971333,85664,44,WAR160228TPY,martinmichelle@example.org,MORAL
8880,michael83,Todd Reyes,40044,CLABE,044724432759432626,42835,41,WIDD730817U8N,lopezmichael@example.net,FISICA
5310,tracymiller,Nathaniel Wilson,40014,CLABE,014574161734513537,6286,48,DOM1805175II,alexdavis@example.org,MORAL
7862,clarkjulia,Judith Nguyen,40044,CLABE,044770703241103904,8664,9,CRA131022MZ2,marymiller@example.org,MORAL
2532,fgraves,Melissa Smith,40044,CLABE,044533063042739798,76929,16,LYFD931018U5Y,ryankatie@example.net,FISICA
3623,antoniohawkins,Amanda Perez,40002,CLABE,002142597928956720,32553,26,HOBM860131KO5,michael94@example.net,FISICA
7525,raymondjohnson,Timothy Campbell,40012,CLABE,012532311435613494,21731,26,COBJ690423U1V,patrickrobertson@example.net,FISICA
6941,mturner,Danny Morris,40002,CLABE,002680168173701198,74875,35,CAPA840802PDY,wtorres@example.org,FISICA
7468,chadhurley,Christopher Williams,40002,CLABE,002950598103004158,1278,40,DICS850113HLB,michelletaylor@example.net,FISICA
3553,reedmichael,Jamie Clay,40021,CLABE,021676303388744155,22111,13,ROBV360529I37,lauren58@example.net,FISICA
1375,jenniferalvarez,Elizabeth Jackson,40012,CLABE,012894195472637596,36737,33,HEN081102XK6,debbie41@example.org,MORAL
8276,wcrawford,Robert Barr,40021,CLABE,021011732726258821,37314,19,SIDJ011022ASP,veronica96@example.net,FISICA
5753,vjensen,Daniel Medina,40021,CLABE,021843071718514951,64204,21,WRI070908Z2N,ywood@example.com,MORAL
5432,molly23,Thomas Garrett,40002,CLABE,002272763575277029,69797,25,RERJ580819B8E,zacharywilliams@example.com,FISICA
7648,callahanrichard,Christina Solis,40002,CLABE,002032850667286733,76659,28,MEY091221AQ9,josephrebecca@example.net,MORAL
5010,davidescobar,Alyssa Williams,40044,CLABE,044888033772951367,2130,46,MUJT760512A0J,harristaylor@example.org,FISICA
6890,robinsontyler,Michael Mueller,40012,CLABE,012985996694340996,37280,5,ESBK7709124NV,charles18@example.org,FISICA
7140,angela31,David Gomez,40021,CLABE,021721751228814448,76513,37,FIT020226RT4,cameron09@example.net,MORAL
5252,gmiller,Ashley Velez,40012,CLABE,012213303458936539,92546,25,RIL151003ZKT,john20@example.org,MORAL
1507,timmiller,Linda Miller,40002,CLABE,002800529263198549,64051,45,CAN060511Y3D,gilljerry@example.org,MORAL
6793,chase43,Bradley Chavez,40021,CLABE,021755523453293514,61511,5,TAY230713DDE,willie18@example.net,MORAL
1816,ortegadavid,Stacey Mason,40044,CLABE,044693361987738193,85808,8,POW060207ANM,zryan@example.net,MORAL
5682,iperez,Kimberly King,40014,CLABE,014846511283027415,67917,34,MORE750113VUG,christopher74@example.org,FISICA
5047,brookemolina,William Lynch,40021,CLABE,021471004697521459,51164,24,POL130619TLD,mitchell27@example.org,MORAL
1172,richardchambers,Carolyn Miller,40012,CLABE,012706409325857314,78922,23,GAR020910FQX,wdominguez@example.com,MORAL
8700,francis08,Rodney Schmidt,40014,CLABE,014842471187805447,35383,28,MIHD050804Y1R,jwilliams@example.org,FISICA
5439,gwalker,Tony Mcbride,40002,CLABE,002073445290821587,19663,49,PERS581217IYL,michelle47@example.com,FISICA
6361,sheajames,Diana Miller,40012,CLABE,012858790613636395,10714,42,CHSM900402Y48,meredith29@example.org,FISICA
6953,meyerkelsey,Brent Williams,40012,CLABE,012398391263973930,3845,49,CRU1706236Q6,stephensmary@example.org,MORAL
7693,erin43,Ian Jackson,40021,CLABE,021226349957118760,15099,1,ELL230628A9G,thomas36@example.com,MORAL
4201,zschwartz,Brenda Moody,40021,CLABE,021423275199855115,13357,1,NGCK960208E8D,jared38@example.net,FISICA
6841,richard06,Isaiah Mitchell,40044,CLABE,044628100852813967,72155,41,MAJM820131SOY,kpatton@example.org,FISICA
6740,emilybrown,Sharon Burke,40012,CLABE,012697935176323856,71922,3,CART7209060N5,weissscott@example.net,FISICA
7910,paul63,Jason Powell,40014,CLABE,014640477223784213,58538,49,HAGC470828CMM,christopherkaiser@example.net,FISICA
8963,nsimpson,Joy Long,40014,CLABE,014443748642922800,16728,42,CAL080815ULA,ecarroll@example.net,MORAL
1822,ricekathleen,Mary Potter,40014,CLABE,014293197668694309,20262,45,GAR2111057J7,avilastefanie@example.net,MORAL
9265,heather43,Jamie Thompson,40002,CLABE,002893285377659611,84336,13,BUHA770117JF4,wperez@example.org,FISICA
1939,lschmidt,Judith Smith,40044,CLABE,044057831431114874,5966,29,MAR1604163UX,qcarter@example.net,MORAL
5436,javierstrong,Rachel Hamilton DVM,40012,CLABE,012549792241896280,80935,50,GRI050429DJT,kimberly74@example.com,MORAL
5585,clloyd,Craig Gibson,40014,CLABE,014563089662519334,96782,16,SMI060730UZS,brucemorgan@example.net,MORAL
5852,jennifer67,Ian Houston,40021,CLABE,021986941860104188,69630,30,MEN020301JWD,robertdiaz@example.net,MORAL
5715,joshua26,Kimberly Clark,40044,CLABE,044399217472957009,50077,44,DAAJ511026EIU,imoore@example.net,FISICA
8248,andrea05,Shari Wilson,40002,CLABE,002175742606020650,47120,9,MIKJ000308SI0,matthewnguyen@example.net,FISICA
8258,andrew65,Lauren Graves,40044,CLABE,044838176898074430,2900,42,KIAK361121WXJ,anne99@example.com,FISICA
4825,veronica80,Aaron Vasquez,40044,CLABE,044783307450045851,65182,40,ROWS041219Q8O,ralph38@example.net,FISICA
8416,bethanymaldonado,Pamela Bennett,40021,CLABE,021609961941721917,68228,45,LOWE660602DOI,stephenchavez@example.org,FISICA
9005,bruce08,Jenna Cook,40014,CLABE,014688044311310934,29125,1,CAWS610417QIG,chavezalyssa@example.net,FISICA
9769,schmidtnicholas,Stephanie Young,40021,CLABE,021927195858574267,75653,17,FLO110130S7O,haleysanders@example.org,MORAL
3413,rangelcharles,Tanya Watts,40021,CLABE,021524677103003182,51994,15,HIPD051026D7K,curtis67@example.org,FISICA
7939,moorenicole,Amy Brooks,40014,CLABE,014161253485444769,74866,41,WIL2004044CK,omathews@example.net,MORAL
3359,bennettchristina,Daniel Ramos,40002,CLABE,002926395561736605,42404,2,HAWB760515UGG,rosariomicheal@example.net,FISICA
8043,brandyjohnson,Willie Anderson,40021,CLABE,021883730771066971,1729,24,MAR160809GFP,smckinney@example.net,MORAL
4505,monroevictor,Adrian Armstrong,40002,CLABE,002668950749852262,3170,19,HASF530505N3X,christie86@example.net,FISICA
3130,mooremarcus,Corey Williams,40012,CLABE,012545142235779994,81635,21,WEB031027IM3,mike09@example.net,MORAL
7646,gjimenez,Joann Adams,40021,CLABE,021319628715468337,74509,13,MONH4604062E1,dawnmartin@example.net,FISICA
5819,wramirez,Lauren Salinas,40014,CLABE,014347442380403124,66886,23,GOR110822S0H,falvarez@example.com,MORAL
6756,john78,Katie Carey,40021,CLABE,021015953565366402,22571,7,ALMJ8412028FL,kellytaylor@example.org,FISICA
2682,odiaz,Thomas Butler,40012,CLABE,012156283134844856,57328,50,ROMD021120O5C,hedwards@example.org,FISICA
3008,kelseystevens,Thomas Randall,40002,CLABE,002386701262244784,50774,10,KHA131021SGR,travis95@example.org,MORAL
8439,jonathan34,Jimmy Walton,40021,CLABE,021283129003615376,39923,22,SMI171012XRH,lcohen@example.net,MORAL
7033,robertbates,Brad Myers,40014,CLABE,014545292485105129,10910,38,WIKJ360211U2V,jason87@example.com,FISICA
1692,mendezhannah,Anthony Anthony,40044,CLABE,044394438488703605,62895,9,SNY191204SFE,matthewwaters@example.net,MORAL
6962,horneedwin,Jessica Wallace,40012,CLABE,012969908297055139,38454,34,CUR090312M6W,jefferybullock@example.org,MORAL
7516,martinezstephanie,Melanie Fleming,40012,CLABE,012170901992259357,41921,32,BER19070677D,valdeztasha@example.com,MORAL
8255,rodriguezlaura,Leah Walker,40044,CLABE,044309117787451950,90709,16,BEL030802YLY,mckenziecorey@example.net,MORAL
7816,jblake,Christopher Bennett,40014,CLABE,014470589119884301,28793,28,CLA121119X24,cmendoza@example.net,MORAL
3583,joshua76,Glenda Wood,40014,CLABE,014838240698448072,9806,47,AVHD450512DYY,owensjoseph@example.net,FISICA
8746,burnsjennifer,Megan Rogers,40002,CLABE,002168624689409304,56273,49,JAC1205305R8,wanda98@example.org,MORAL
6278,kburns,Jennifer Miller,40021,CLABE,021312045903080018,89800,31,SMI140305D7L,wbrown@example.org,MORAL
8750,taylor39,Ashley Anderson DDS,40021,CLABE,021797100442390774,42112,23,PRI1412017G9,cynthia59@example.com,MORAL
7382,sarah55,Charlotte Love,40021,CLABE,021140051318684041,95781,45,MUBC970117TGX,kristiehubbard@example.org,FISICA
7089,melissa41,Shawn Brown,40014,CLABE,014114604780681119,36085,50,KIHJ441020YQS,uflowers@example.net,FISICA
3776,jenniferparker,Brian Russell,40014,CLABE,014359368860669249,10965,45,WAWC661204ZAM,john71@example.org,FISICA
2429,stephen00,Michelle Rosales,40014,CLABE,014865645411703718,44320,1,REE1604305BY,portersusan@example.com,MORAL
1568,vasquezsarah,Jerome Foster,40044,CLABE,044069879565586943,60376,14,STDJ020708DG3,joefowler@example.org,FISICA
4243,stephensjessica,Kimberly Perkins,40044,CLABE,044080502669626679,70617,40,VIL0005138Z0,jessica07@example.org,MORAL
2836,austinrobbins,Daniel Tanner,40021,CLABE,021208163006754456,6459,33,DAST7803166GS,vasquezstephanie@example.net,FISICA
4707,wstone,Melinda Gay DDS,40044,CLABE,044690305031905226,23107,14,CAM1010129R7,danielhamilton@example.net,MORAL
2875,cheryl68,Julie Weiss,40012,CLABE,012066680619614371,52321,19,MIEJ8906044MT,lisatodd@example.net,FISICA
6061,kimberlymccarthy,Keith Flores,40044,CLABE,044427253962544780,30159,39,COL090128A6A,dianehobbs@example.net,MORAL
1655,rjohnson,Heidi Hernandez,40021,CLABE,021388713572877662,8171,44,SHE161006SNX,williamriggs@example.com,MORAL
3692,qgalvan,Matthew Hernandez,40021,CLABE,021577677803067736,60879,18,ORT0508307F0,amandajames@example.com,MORAL
8432,kathyfreeman,Jonathan Stevenson,40002,CLABE,002206554172903394,7576,44,HUN090511DNH,michaelnewton@example.com,MORAL
7974,mario49,Kevin Garcia,40002,CLABE,002347881654445097,46307,17,RIMK460604RX9,richardsonmelissa@example.com,FISICA
4648,kennedysherry,Steven Gonzalez,40021,CLABE,021110058360529134,2599,10,BURJ510813CCH,rodriguezsandra@example.net,FISICA
8108,schaeferjimmy,Ricky Jones,40002,CLABE,002990395731669230,76725,2,ANWG860817LCI,cathybrewer@example.com,FISICA
5090,glennrodriguez,Anthony Hood,40012,CLABE,012601890843294864,43152,38,BEDH9803271GT,lawrence16@example.net,FISICA
7775,davidmcguire,Gerald Burns,40021,CLABE,021983344390843921,36273,12,VIN2002025H9,qleon@example.net,MORAL
3873,goldenlauren,Angela Duffy,40002,CLABE,002489758750932465,25552,41,PAT0403312JM,holly50@example.org,MORAL
2759,alison28,Christine Wolf,40002,CLABE,002699126328907199,63203,15,JAC151213VL4,christinegonzalez@example.com,MORAL
6456,christy18,Joshua Smith,40014,CLABE,014052498023749799,83450,15,SMBE631023I79,benjaminpotter@example.net,FISICA
7742,charles12,Brian Vance,40021,CLABE,021929751222501897,35210,39,ANJJ790112WUP,hickstracy@example.com,FISICA
7539,jody54,Jason Dennis,40012,CLABE,012539442350885171,23562,29,NAV151214EV5,daniel98@example.net,MORAL
2048,jamescolleen,Krystal Harrell,40014,CLABE,014651242902316864,16285,25,BEN0607154JY,butlerallison@example.com,MORAL
8883,morganobrien,Jessica Holmes,40044,CLABE,044252005058947362,79589,35,TUR181107UOT,justinthomas@example.org,MORAL
8008,hcarrillo,Summer Hawkins,40044,CLABE,044954033635923592,28918,50,RYA220206AA0,jessicasanchez@example.com,MORAL
2398,jpotter,Danielle Melton,40014,CLABE,014964000990068344,75397,5,ROB180409MA2,dannywilliams@example.com,MORAL
1534,danieldavis,Jill West,40012,CLABE,012047401305317706,26065,23,IRW111202ZCD,wrightalison@example.net,MORAL
4935,mendozayvonne,Jacob Fletcher,40002,CLABE,002136943852758836,15249,50,RUI090301Y2R,bradley31@example.org,MORAL
7881,smithtyler,Geoffrey Haynes,40014,CLABE,014385413973625026,24323,33,SMDE3910014PB,james51@example.net,FISICA
7788,parksarah,James Anderson,40002,CLABE,002635175276268084,64827,24,VAJJ500203UXH,smithrobert@example.com,FISICA
4384,nancybeltran,Brian Herrera,40014,CLABE,014759665864228700,12485,8,FOS1308277CW,amber60@example.com,MORAL
1893,dianamitchell,Jessica Henry,40014,CLABE,014194241977168063,3962,17,FRPS551207HRB,thompsonashley@example.net,FISICA
3570,calhounjeremy,Kelly Nguyen,40002,CLABE,002051441400617378,37035,49,PER080714ADK,cherylball@example.com,MORAL
9115,lwalls,Todd Salazar,40044,CLABE,044921027949441095,72445,18,BUKP480313VEE,hensleyjames@example.org,FISICA
2937,james05,Elizabeth Boyle,40012,CLABE,012926501775076347,8911,27,SMLW580629IBT,claudiamitchell@example.net,FISICA
8414,william13,Nicole Davis,40044,CLABE,044150086282528128,84361,28,MERJ930915DSP,deborahhartman@example.com,FISICA
6753,jennifer82,Sandra White,40012,CLABE,012305934510089505,49978,1,KEL160812HQL,coledanny@example.net,MORAL
5987,elizabeth87,Cheryl Mcintyre,40014,CLABE,014056870732023841,42244,36,BEWD840128VS4,jhall@example.org,FISICA
8175,vanderson,Leah Wiggins,40002,CLABE,002428849149548318,14269,49,PAR060116WAB,steven32@example.net,MORAL
8350,andrew44,Dr. Emily Bonilla,40021,CLABE,021438780680180047,67098,41,WIKS641027SZW,leeelizabeth@example.com,FISICA
1937,evansjuan,Kyle Williams,40021,CLABE,021997368799005335,85712,25,WAG161118ILU,vmendoza@example.com,MORAL
6385,alexandra41,Joann Munoz,40012,CLABE,012284177921554106,36574,31,LOAJ691210COV,myu@example.net,FISICA
8606,maryday,Ricky Medina,40021,CLABE,021076214288508710,16051,8,CAM0909149NZ,caitlyn69@example.com,MORAL
1797,russellsabrina,Michele Hall,40014,CLABE,014375326102465901,23195,25,TAY100319YAR,hayescarlos@example.net,MORAL
5160,johnadams,Joseph Fernandez,40014,CLABE,014858082434453378,28443,48,THO150416O57,judy83@example.com,MORAL
8508,skline,Tracy Evans,40044,CLABE,044821644960284659,93950,34,RIBC600222SV5,daniel03@example.org,FISICA
4581,laurenjohnston,Eric Gonzalez,40012,CLABE,012148100597781486,22626,50,BER0002124C9,ecurtis@example.net,MORAL
4137,aalexander,Robert Wilson,40002,CLABE,002666744118279914,22353,33,RIO001008UIF,kim04@example.org,MORAL
